ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,PN,PL,FA
208.280,111.760,6166.000,4.119,193.900,23.600,0.000,0.575,752.970,2.284,0.114,0.073,8.36E-06,23.00,0.00,0.00,0.80
292.100,96.520,2746.000,4.119,183.100,22.800,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,2.00,0.00,0.00,0.60
292.100,96.520,2800.000,4.119,151.100,23.100,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,4.00,0.00,0.00,0.50
292.100,96.520,7674.000,4.119,152.200,22.100,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,6.00,0.00,0.00,0.60
292.100,96.520,8472.000,4.119,212.800,22.700,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,7.00,0.00,0.00,0.90
292.100,96.520,9353.000,4.119,157.600,22.500,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,8.00,0.00,0.00,0.10
292.100,96.520,4391.000,4.119,228.800,23.100,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,11.00,0.00,0.00,0.60
292.100,96.520,4574.000,4.119,229.900,23.200,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,15.00,0.00,0.00,1.20
292.100,96.520,4371.000,4.119,251.700,23.100,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,17.00,0.00,0.00,1.40
292.100,96.520,4513.000,4.119,113.600,22.900,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,18.00,0.00,0.00,0.10
292.100,96.520,4436.000,4.119,245.900,23.300,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,21.00,0.00,0.00,0.80
292.100,96.520,4698.000,4.119,190.600,23.300,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,22.00,0.00,0.00,0.20
292.100,96.520,6166.000,4.119,193.900,23.600,0.000,0.735,775.032,2.324,0.129,0.069,8.36E-06,23.00,0.00,0.00,0.10
274.320,172.720,2746.000,4.119,183.100,22.800,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,2.00,0.00,0.00,1.40
274.320,172.720,2800.000,4.119,151.100,23.100,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,4.00,0.00,0.00,1.50
274.320,172.720,7674.000,4.119,152.200,22.100,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,6.00,0.00,0.00,2.00
274.320,172.720,8472.000,4.119,212.800,22.700,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,7.00,0.00,0.00,2.00
274.320,172.720,9353.000,4.119,157.600,22.500,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,8.00,0.00,0.00,3.00
274.320,172.720,4391.000,4.119,228.800,23.100,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,11.00,0.00,0.00,3.50
274.320,172.720,4574.000,4.119,229.900,23.200,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,15.00,0.00,0.00,2.50
274.320,172.720,4371.000,4.119,251.700,23.100,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,17.00,0.00,0.00,3.80
274.320,172.720,4513.000,4.119,113.600,22.900,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,18.00,0.00,0.00,2.70
274.320,172.720,4417.000,4.119,102.800,23.700,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,19.00,0.00,0.00,2.60
274.320,172.720,4436.000,4.119,245.900,23.300,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,21.00,0.00,0.00,3.70
274.320,172.720,4698.000,4.119,190.600,23.300,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,22.00,0.00,0.00,3.80
274.320,172.720,6166.000,4.119,193.900,23.600,0.000,0.690,623.663,2.298,0.085,0.063,8.36E-06,23.00,0.00,0.00,3.70
312.420,99.060,2746.000,4.618,183.100,22.800,0.000,0.616,736.213,2.283,0.114,0.073,8.36E-06,2.00,0.00,0.00,0.90
312.420,99.060,2800.000,4.618,151.100,23.100,0.000,0.616,736.213,2.283,0.114,0.073,8.36E-06,4.00,0.00,0.00,0.20
312.420,99.060,7674.000,4.618,152.200,22.100,0.000,0.616,736.213,2.283,0.114,0.073,8.36E-06,6.00,0.00,0.00,0.10
312.420,99.060,8472.000,4.618,212.800,22.700,0.000,0.616,736.213,2.283,0.114,0.073,8.36E-06,7.00,0.00,0.00,0.40
